order_id,customer_id,region,order_date,product_category,amount,quantity,status
ORD-10000,2824,North,2024-05-20,Clothing,74.07,2,completed
ORD-10001,9935,North,29/10/2024,Electronics,19.75,4,completed
ORD-10002,1434,South,Nov 28 2024,Sports,212.66,8,completed
ORD-10003,1106,South,23/12/2024,Food,142.55,4,pending
ORD-10004,6514,North,17/02/2024,Electronics,182.69,6,completed
ORD-10005,1711,West,2024-10-01,Home,44.01,5,returned
ORD-10006,6925,South,2024-12-26,Electronics,332.33,5,pending
ORD-10007,4814,North,13/07/2024,Home,319.66,6,completed
ORD-10008,6820,South,09/12/2024,Electronics,306.52,3,completed
ORD-10009,5010,South,24/08/2024,Food,494.81,9,completed
ORD-10010,6313,North,2024-04-27,Food,203.58,2,completed
ORD-10011,6155,South,01/12/2024,Home,442.92,8,completed
ORD-10012,3287,South,Oct 14 2024,Food,374.77,7,returned
ORD-10013,7543,East,2024-04-22,Sports,249.29,1,returned
ORD-10014,3504,South,14/12/2024,Sports,36.45,7,completed
ORD-10015,8668,East,2024-10-10,Electronics,342.45,9,completed
ORD-10016,6573,North,30/05/2024,Clothing,229.59,5,pending
ORD-10017,3927,North,16/11/2024,Sports,306.44,3,completed
ORD-10018,3646,North,02/11/2024,Home,14.64,6,returned
ORD-10019,6038,South,2024-01-30,Sports,473.74,2,completed
ORD-10020,2133,South,Mar 06 2024,Home,473.69,3,completed
ORD-10021,7932,South,Oct 03 2024,Clothing,357.91,7,pending
ORD-10022,7118,West,21/09/2024,Electronics,127.71,2,completed
ORD-10023,4770,South,2024-01-04,Electronics,118.33,1,returned
ORD-10024,2160,South,May 22 2024,Home,111.05,3,completed
ORD-10025,8744,South,30/08/2024,Clothing,51.69,7,completed
ORD-10026,7735,West,Jan 28 2024,Electronics,35.0,6,returned
ORD-10027,2790,South,2024-04-08,Sports,-10.54,7,completed
ORD-10028,8579,South,08/02/2024,Sports,53.46,9,returned
ORD-10029,2528,South,26/03/2024,Home,243.27,7,returned
ORD-10030,3697,West,02/01/2024,Food,463.63,8,completed
ORD-10031,8973,South,07/04/2024,Clothing,484.51,10,completed
ORD-10032,1998,East,2024-01-30,Sports,241.01,9,completed
ORD-10033,9320,North,2024-04-05,Sports,38.64,4,completed
ORD-10034,5033,North,2024-11-13,Home,330.4,10,completed
ORD-10035,5272,South,Dec 08 2024,Food,123.15,7,completed
ORD-10036,5915,West,2024-06-10,Electronics,231.85,10,pending
ORD-10037,2200,South,16/09/2024,Clothing,466.96,2,returned
ORD-10038,7054,East,21/03/2024,Sports,353.25,10,pending
ORD-10039,9666,North,Dec 07 2024,Food,466.22,2,returned
ORD-10040,3200,East,2024-02-29,Sports,81.95,5,completed
ORD-10041,6617,South,Dec 17 2024,Food,255.18,5,returned
ORD-10042,1832,North,20/11/2024,Food,26.82,6,completed
ORD-10043,5291,South,Aug 14 2024,Home,282.65,2,completed
ORD-10044,3442,North,Jul 08 2024,Sports,78.31,3,completed
ORD-10045,6974,North,2024-07-02,Clothing,335.13,6,completed
ORD-10046,7658,South,2024-05-01,Clothing,441.3,1,completed
ORD-10047,6442,West,Dec 08 2024,Clothing,137.07,2,completed
ORD-10048,1634,West,2024-04-23,Home,178.08,4,completed
ORD-10049,4164,West,17/06/2024,Electronics,483.61,5,completed
ORD-10050,9346,West,Dec 13 2024,Food,469.92,2,returned
ORD-10051,5279,South,24/10/2024,Electronics,58.66,7,completed
ORD-10052,6139,West,Nov 06 2024,Electronics,195.67,10,completed
ORD-10053,1727,West,Jan 01 2024,Sports,344.99,4,completed
ORD-10054,2146,East,15/11/2024,Electronics,361.28,5,completed
ORD-10055,7691,East,Jul 25 2024,Food,279.43,4,completed
ORD-10056,7211,South,Nov 11 2024,Food,206.01,1,completed
ORD-10057,4443,West,Oct 23 2024,Food,-167.39,8,completed
ORD-10058,9375,West,Mar 27 2024,Electronics,145.47,10,completed
ORD-10059,4848,East,2024-04-25,Clothing,17.09,4,pending
ORD-10060,2193,West,Jul 31 2024,Sports,101.25,7,completed
ORD-10061,4997,South,Dec 01 2024,Electronics,446.87,2,completed
ORD-10062,4585,South,Dec 22 2024,Home,29.86,4,returned
ORD-10063,2988,West,09/03/2024,Sports,494.01,10,completed
ORD-10064,8251,West,07/10/2024,Clothing,373.11,8,completed
ORD-10065,5050,East,23/09/2024,Clothing,140.93,2,completed
ORD-10066,4841,East,20/06/2024,Sports,,3,completed
ORD-10067,3503,South,02/02/2024,Home,,8,completed
