event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-10000,2824,2024-05-20,Engineering,22.32,387,completed
EVT-10001,9935,2024-10-29,Business,3.18,57,completed
EVT-10002,9279,January 14 2024,Security,19.88,342,in_progress
EVT-10003,7873,2024-08-17,Security,27.82,455,completed
EVT-10004,3615,August 04 2024,Design,27.79,120,dropped
EVT-10005,6514,2024-02-17,Business,9.67,443,completed
EVT-10006,5333,2024-08-23,Security,12.48,203,completed
EVT-10007,5803,November 12 2024,Design,57.74,370,completed
EVT-10008,4733,02/10/2024,Engineering,86.65,204,completed
EVT-10009,6977,2024-07-08,Design,20.95,146,in_progress
EVT-10010,2169,November 21 2024,Engineering,53.41,135,completed
EVT-10011,7216,11/23/2024,Security,21.96,176,in_progress
EVT-10012,1916,2024-01-17,Design,40.12,43,completed
EVT-10013,6155,2024-12-01,Business,39.56,478,completed
EVT-10014,3340,03/12/2024,Engineering,74.5,285,completed
EVT-10015,8019,July 23 2024,Design,21.93,80,completed
EVT-10016,2489,2024-02-26,Engineering,62.74,415,completed
EVT-10017,2040,07/14/2024,Security,99.61,280,completed
EVT-10018,1188,February 28 2024,Security,75.09,403,completed
EVT-10019,2827,08/10/2024,Engineering,45.37,379,in_progress
EVT-10020,5315,April 01 2024,Security,91.26,455,completed
EVT-10021,9317,April 11 2024,Engineering,37.39,92,completed
EVT-10022,9689,2024-11-02,Design,48.86,67,dropped
EVT-10023,6038,2024-01-30,Engineering,87.8,50,completed
EVT-10024,8962,2024-09-29,Engineering,12.84,253,dropped
EVT-10025,3705,09/27/2024,Security,42.31,118,dropped
EVT-10026,4295,June 08 2024,Business,99.51,342,completed
EVT-10027,9479,03/02/2024,Engineering,22.47,183,completed
EVT-10028,4770,April 22 2024,Data,7.1,333,completed
EVT-10029,2104,2024-06-18,Data,51.42,152,completed
EVT-10030,4510,March 08 2024,Security,57.62,134,in_progress
EVT-10031,7669,2024-02-18,Data,65.9,191,completed
EVT-10032,8651,January 28 2024,Data,6.06,382,completed
EVT-10033,2790,2024-04-08,Engineering,53.63,81,completed
EVT-10034,5563,05/07/2024,Data,44.31,451,in_progress
EVT-10035,2604,2024-11-29,Security,83.6,57,dropped
EVT-10036,4872,2024-07-27,Business,48.14,452,completed
